Country,Clicks,Impressions,CTR,Position
India,252,6488,3.88%,8.01
United Arab Emirates,3,216,1.39%,18.85
Netherlands,3,120,2.5%,9.82
Nigeria,3,82,3.66%,9.61
Ghana,3,36,8.33%,12.89
United Kingdom,2,158,1.27%,11.27
Thailand,2,76,2.63%,19.75
Australia,2,43,4.65%,12.65
United States,1,1563,0.06%,14.12
Germany,1,92,1.09%,8.02
Malaysia,1,68,1.47%,15.62
Vietnam,1,65,1.54%,22.63
Indonesia,1,58,1.72%,22.59
Hong Kong,1,51,1.96%,6.84
Singapore,1,30,3.33%,7.03
Spain,1,27,3.7%,18.04
France,1,22,4.55%,8.27
Egypt,1,21,4.76%,7.1
Russia,1,16,6.25%,24.94
Ukraine,1,15,6.67%,24.67
Jordan,1,11,9.09%,25.82
Iran,1,9,11.11%,7.78
Poland,1,3,33.33%,5.33
Congo - Brazzaville,1,1,100%,9
Bangladesh,0,161,0%,12.37
Canada,0,89,0%,7.56
Pakistan,0,87,0%,12.02
Philippines,0,46,0%,30.11
Kenya,0,41,0%,6.63
Brazil,0,40,0%,13.53
Ethiopia,0,27,0%,6.37
Italy,0,25,0%,8.32
Saudi Arabia,0,25,0%,8.52
Japan,0,24,0%,7.83
Sri Lanka,0,24,0%,10.96
Morocco,0,23,0%,37.13
South Africa,0,22,0%,5.59
Nepal,0,21,0%,7
China,0,19,0%,6.32
Turkey,0,19,0%,39.58
Uganda,0,16,0%,4.69
Tanzania,0,16,0%,6.38
Mexico,0,16,0%,25.06
Congo - Kinshasa,0,12,0%,6.75
Côte d’Ivoire,0,12,0%,7
Oman,0,12,0%,7
Afghanistan,0,12,0%,7.08
Liberia,0,11,0%,6
Algeria,0,11,0%,22.18
Syria,0,10,0%,12.2
Argentina,0,10,0%,13.3
Taiwan,0,9,0%,4.44
Kuwait,0,9,0%,5.67
Yemen,0,9,0%,7.22
Greece,0,9,0%,10
Iraq,0,9,0%,20.33
Israel,0,8,0%,6.75
Madagascar,0,8,0%,6.75
Zimbabwe,0,7,0%,4.86
Switzerland,0,7,0%,5.86
Papua New Guinea,0,7,0%,6
Hungary,0,7,0%,6.43
Azerbaijan,0,7,0%,7.86
Colombia,0,7,0%,8.57
Lithuania,0,7,0%,12
Malawi,0,6,0%,3.17
Qatar,0,6,0%,4.83
Bahrain,0,6,0%,5.17
Sierra Leone,0,6,0%,5.17
Sweden,0,5,0%,3.8
Finland,0,5,0%,4.2
Mozambique,0,5,0%,7.2
South Korea,0,5,0%,7.4
Romania,0,5,0%,7.4
Trinidad & Tobago,0,5,0%,8
Bulgaria,0,5,0%,9
Lebanon,0,5,0%,10.2
Cambodia,0,4,0%,2.5
Somalia,0,4,0%,4.5
Ireland,0,4,0%,5
Cameroon,0,4,0%,6
Belgium,0,4,0%,7.5
Portugal,0,4,0%,7.75
Palestine,0,4,0%,7.75
Botswana,0,4,0%,8.25
Angola,0,4,0%,9
Senegal,0,4,0%,10.5
Ecuador,0,4,0%,15.75
Kazakhstan,0,3,0%,4.33
Panama,0,3,0%,4.67
Luxembourg,0,3,0%,6
Maldives,0,3,0%,6.67
Austria,0,3,0%,9
Belarus,0,3,0%,9
Jamaica,0,3,0%,14.33
Venezuela,0,3,0%,16.67
Chile,0,3,0%,22.67
Aruba,0,2,0%,3
Cyprus,0,2,0%,3.5
Gambia,0,2,0%,3.5
Guyana,0,2,0%,4
Libya,0,2,0%,4
Tunisia,0,2,0%,4.5
Zambia,0,2,0%,5.5
Bolivia,0,2,0%,6
Norway,0,2,0%,6.5
Brunei,0,2,0%,7.5
Cuba,0,2,0%,8
Guinea,0,2,0%,8.5
Costa Rica,0,2,0%,9
Djibouti,0,2,0%,9
Eritrea,0,2,0%,9
Mauritius,0,2,0%,9
Myanmar (Burma),0,2,0%,11.5
Peru,0,2,0%,29.5
New Zealand,0,2,0%,30.5
Mali,0,1,0%,1
Sudan,0,1,0%,1
Solomon Islands,0,1,0%,1
Suriname,0,1,0%,1
Chad,0,1,0%,1
Paraguay,0,1,0%,3
El Salvador,0,1,0%,3
Equatorial Guinea,0,1,0%,4
Croatia,0,1,0%,4
Fiji,0,1,0%,6
New Caledonia,0,1,0%,7
Malta,0,1,0%,8
South Sudan,0,1,0%,8
Swaziland,0,1,0%,9
Benin,0,1,0%,10
Czechia,0,1,0%,10
Dominican Republic,0,1,0%,10
Guinea-Bissau,0,1,0%,10
Uruguay,0,1,0%,10
Bosnia & Herzegovina,0,1,0%,11
Rwanda,0,1,0%,11
Puerto Rico,0,1,0%,14
Gabon,0,1,0%,18
Togo,0,1,0%,22
Curaçao,0,1,0%,26
